"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","Domain","Vocabulary","Ancestors"
"","1592474","1926331","0.5 UNT Doses 3 ML insulin lispro 100 UNT/ML Pen Injector","Clinical Drug","Standard","08/06/2017","12/30/2099","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin lispro'"">1"
"","1592475","1926332","0.5 UNT Doses 3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]","Branded Drug","Standard","08/06/2017","12/30/2099","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin lispro'"">1"
"","1146384","2380265","0.5 UNT Doses 3 ML insulin lispro-aabc 100 UNT/ML Pen Injector","Clinical Drug","Standard","08/02/2020","12/30/2099","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin lispro'"">1"
"","1146385","2380266","0.5 UNT Doses 3 ML insulin lispro-aabc 100 UNT/ML Pen Injector [Lyumjev]","Branded Drug","Standard","08/02/2020","12/30/2099","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin lispro'"">1"
"","41369657","OMOP2567619","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41369655","OMOP2567617","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41369656","OMOP2567618","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution Box of 5","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41362502","OMOP2560464","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41363227","OMOP2561189","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41362747","OMOP2560709","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 1 by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
